0,49325,41025
1,49179,40989
2,49163,40970
3,49114,40954
4,49191,40976
5,49217,40977
6,49201,40895
7,49260,40983
8,49274,41004
9,49146,40928
10,49542,40936
11,49521,41074
12,49621,41109
13,49617,41070
14,49748,41051
15,49746,40939
16,49793,40977
17,49791,40905
18,49681,40693
19,49752,40675
20,49823,40667
21,49827,40590
22,49740,40533
23,49734,40464
24,49745,40425
25,49865,41687
26,49902,41737
27,49911,41648
28,49917,41660
29,49894,41652
30,49822,41560
31,49850,41532
32,49809,41482
33,49776,41421
34,49779,41427
35,49861,41455
36,49843,41416
37,49716,41276
38,49636,41217
39,49617,41163
40,49625,41165
41,49594,41162
42,49634,41103
43,49546,41074
44,49463,40899
45,49406,40898
46,49372,40923
47,49313,40866
48,49350,40887
49,49390,40983
50,49389,41096
51,49341,41064
52,49291,41052
53,49212,40997
54,49140,40971
55,49127,40909
56,49109,40939
57,49113,40863
58,49111,40876
59,49116,40892
60,49017,40873
61,48973,40914
62,48943,40812
63,48987,40912
64,48947,41003
65,48973,40977
66,48763,40827
67,48837,40895
68,48777,40805
69,48627,40561
70,48684,40570
71,48679,40559
72,48696,40518
73,48711,40510
74,48633,40525
75,48612,40424
76,48568,40410
77,48520,40382
78,48598,40388
79,48606,40331
80,48637,40613
81,48623,40598
82,48579,40617
83,48548,40570
84,48367,40427
85,48376,40521
86,48351,40474
87,48325,40357
88,48372,40328
89,48306,40504
90,48157,40343
91,43530,36489
92,43562,36552
93,43602,36574
94,43542,36548
95,43427,36482
96,43424,36370
97,43427,36424
98,43405,36421
99,43379,36414
100,43324,36345
101,43276,36298
102,43211,36232
103,43050,36079
104,43091,36146
105,43096,36128
106,43055,36030
107,43044,36015
108,43078,36085
109,43031,36054
110,42978,36029
111,42946,36133
112,42958,36139
113,42898,36079
114,42810,36058
115,42774,36010
116,42764,35990
117,42736,36005
118,42643,35914
119,42600,35874
120,42483,35843
121,42545,35794
122,42501,35729
123,42455,35772
124,42485,35755
125,42408,35811
126,42398,35812
127,42388,35756
128,42353,35778
129,42371,35759
130,42311,35781
131,42227,35624
132,42144,35564
133,42061,35546
134,42032,35507
135,42068,35542
136,42018,35474
137,42032,35457
138,41846,35247
139,41771,35212
140,41724,35128
141,41749,35137
142,41702,35152
143,41626,35015
144,41507,34873
145,41533,34830
146,41383,34711
147,41305,34511
148,41248,34477
149,41175,34363
150,41154,34374
151,41225,34441
152,41165,34447
153,41007,34419
154,40896,34381
155,40898,34316
156,40898,34317
157,40857,34371
158,40845,34325
159,40807,34246
160,40701,34221
161,40537,34143
162,40527,34199
163,40482,34166
164,40471,34084
165,40410,34001
166,40395,34096
167,40293,33949
168,40269,33899
169,40256,33855
170,40249,33862
171,40229,34009
172,40192,33987
173,40129,33859
174,40032,33730
175,39941,33618
176,39913,33521
177,39856,33564
178,39805,33516
179,39891,33585
180,39828,33607
181,39804,33642
182,39737,33541
183,39660,33395
184,39616,33444
185,39610,33378
186,39607,33340
187,39577,33379
188,39438,33254
189,39411,33315
190,39362,33260
191,39280,33225
192,39314,33206
193,39231,33195
194,39209,33134
195,39132,32962
196,39124,33020
197,39113,32930
198,39037,32903
199,39028,32899
200,38991,32828
201,38988,32877
202,38957,32859
203,38831,32712
204,38823,32677
205,38797,32697
206,38782,32661
207,38763,32536
208,38644,32481
209,38560,32425
210,38527,32386
211,38506,32426
212,38447,32411
213,38398,32397
214,38407,32336
215,38360,32300
216,38353,32344
217,38282,32269
218,38261,32359
219,38203,32243
220,38201,32310
221,38080,32187
222,38052,32072
223,37996,32114
224,37956,32032
225,37673,31712
226,37713,31734
227,37592,31627
228,37523,31530
229,37531,31559
230,37491,31514
231,37450,31538
232,37392,31483
233,37339,31481
234,37216,31371
235,37235,31332
236,37185,31243
237,37112,31284
238,37144,31310
239,37145,31282
240,37064,31221
241,36956,31207
242,36949,31149
243,36963,31104
244,36857,30996
245,36836,30962
246,36822,30998
247,36797,31001
248,36662,30944
249,36546,30877
250,36517,30772
251,36466,30770
252,36453,30733
253,36430,30686
254,36346,30685
255,36251,30635
256,36195,30565
257,36188,30481
258,36119,30453
259,36092,30347
260,35935,30183
261,35819,30087
262,35748,29971
263,35687,29871
264,35549,29753
265,35540,29666
266,35599,29743
267,35313,29704
268,35298,29693
269,35295,29675
270,35211,29636
271,35165,29657
272,35094,29583
273,34948,29472
274,34869,29478
275,34879,29399
276,34809,29321
277,34779,29267
278,34763,29318
279,34623,29201
280,34636,29138
281,34585,29071
282,34598,29094
283,34544,29002
284,34537,28936
285,34366,28866
286,34362,28865
287,34303,28845
288,34282,28765
289,34272,28707
290,34260,28725
291,34188,28756
292,34169,28656
293,34077,28623
294,33969,28532
295,33880,28520
296,33867,28499
297,33734,28321
298,33775,28326
299,33685,28289
300,33590,28222
301,33562,28167
302,33627,28162
303,33567,28155
304,33564,28162
305,33457,28151
306,33403,28061
307,33364,28066
308,33354,28054
309,33268,27984
310,33182,27861
311,33195,27845
312,33041,27679
313,32975,27655
314,32980,27615
315,32982,27674
316,32923,27587
317,32927,27662
318,32888,27652
319,32839,27607
320,32708,27419
321,32722,27461
322,32700,27280
323,32625,27282
324,32532,27234
325,32513,27255
326,32500,27316
327,32435,27387
328,32395,27290
329,32370,27257
330,32250,27156
331,32162,27182
332,32177,27141
333,32140,27067
334,32125,27042
335,32092,26979
336,32042,26968
337,32029,26944
338,31981,26945
339,31902,26844
340,31920,26866
341,31887,26814
342,31774,26688
